field_1,Longitude,Latitude,RMI_p,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,elevation,aspect
27,-78.33543,38.63324,29.4847126,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,858.5828247,21.98832703
28,-78.38612,38.55969,22.2639122,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,998.3502808,280.3115845
29,-78.39238,38.55264,41.35054398,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1155.424683,76.83078766
30,-78.39008,38.55178,33.42938614,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1133.411011,22.82565308
31,-78.3897,38.55605,32.16714096,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1057.818848,50.18263626
32,-78.38853,38.55517,28.93893051,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1054.668945,38.16638184
33,-78.38766,38.5573,28.50334358,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1005.051331,342.0472107
34,-78.38846,38.55799,26.15644264,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,974.1894531,341.495697
35,-78.32487,38.63361,19.06815529,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1017.228271,343.5053101
36,-78.36182,38.59811,30.2909317,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,970.2197876,56.10691071
37,-78.32607,38.63209,18.97540855,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1063.177002,355.3443909
38,-78.32668,38.63046,23.55053711,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1109.210327,338.68573
39,-78.32426,38.63329,20.4726162,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1015.473755,111.100174
40,-78.32333,38.64028,15.35459614,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,974.6134644,318.3278503
41,-78.33427,38.62986,28.71866989,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1016.173767,342.7425232
42,-78.33409,38.63243,24.59291458,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,867.0196533,333.28479
43,-78.33649,38.62817,13.2484293,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1036.348389,215.1308594
44,-78.33517,38.62923,29.88535881,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1055.364868,14.40404415
45,-78.33488,38.62947,31.38516998,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1035.142578,1.649226069
46,-78.33475,38.62982,37.44345474,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1011.917053,4.668647766
47,-78.33633,38.63425,26.26131058,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,832.4768066,48.49460983
48,-78.33369,38.62955,19.52283096,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1037.383301,10.64754963
49,-78.38519,38.55855,12.85239029,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1049.398926,202.5557861
50,-78.33645,38.63237,26.8454895,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,928.3079224,36.69321823
51,-78.364,38.631,28.57022858,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,578.1550903,335.2804871
52,-78.36629,38.56713,27.6225872,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,839.7114868,130.8345184
53,-78.3649,38.6107,20.28243828,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,932.5180054,337.6604309
54,-78.36629,38.60513,22.88250923,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,996.8021851,61.16336823
