"","Latitude","Longitude","year","direction","T_final"
"90",38.54333,-78.42371,"year_2010","SW",29.474313820464
"91",38.54333,-78.42371,"year_2011","SW",29.071313940464
"92",38.54333,-78.42371,"year_2012","SW",28.909315190464
"93",38.54333,-78.42371,"year_2013","SW",26.669315420464
"94",38.54333,-78.42371,"year_2014","SW",25.893314440464
"95",38.54333,-78.42371,"year_2015","SW",26.636314470464
"96",38.54333,-78.42371,"year_2016","SW",27.695314490464
"97",38.54387,-78.41734,"year_2005","SW",25.114705736976
"98",38.54387,-78.41734,"year_2006","SW",25.047704386976
"99",38.54387,-78.41734,"year_2007.","SW",23.985706026976
"100",38.54387,-78.41734,"year_2008","SW",24.506705926976
"101",38.54387,-78.41734,"year_2009","SW",22.409705806976
"102",38.54387,-78.41734,"year_2010","SW",27.363704376976
"103",38.54387,-78.41734,"year_2011","SW",26.960704496976
"104",38.54387,-78.41734,"year_2012","SW",26.798705746976
"105",38.54387,-78.41734,"year_2013","SW",24.558705976976
"106",38.54387,-78.41734,"year_2014","SW",23.782704996976
"107",38.54387,-78.41734,"year_2015","SW",24.525705026976
"108",38.54387,-78.41734,"year_2016","SW",25.584705046976
"109",38.54397,-78.42306,"year_2005","NW",26.481876576832
"110",38.54397,-78.42306,"year_2006","NW",26.414875226832
"111",38.54397,-78.42306,"year_2007.","NW",25.352876866832
"112",38.54397,-78.42306,"year_2008","NW",25.873876766832
"113",38.54397,-78.42306,"year_2009","NW",23.776876646832
"114",38.54397,-78.42306,"year_2010","NW",28.730875216832
"115",38.54397,-78.42306,"year_2011","NW",28.327875336832
"116",38.54397,-78.42306,"year_2012","NW",28.165876586832
"117",38.54397,-78.42306,"year_2013","NW",25.925876816832
"118",38.54397,-78.42306,"year_2014","NW",25.149875836832
"119",38.54397,-78.42306,"year_2015","NW",25.892875866832
"120",38.54397,-78.42306,"year_2016","NW",26.951875886832
"121",38.54472,-78.4174,"year_2005","NW",24.542239330432
"122",38.54472,-78.4174,"year_2006","NW",24.475237980432
"123",38.54472,-78.4174,"year_2007.","NW",23.413239620432
"124",38.54472,-78.4174,"year_2008","NW",23.934239520432
"125",38.54472,-78.4174,"year_2009","NW",21.837239400432
"126",38.54472,-78.4174,"year_2010","NW",26.791237970432
"127",38.54472,-78.4174,"year_2011","NW",26.388238090432
"128",38.54472,-78.4174,"year_2012","NW",26.226239340432
"129",38.54472,-78.4174,"year_2013","NW",23.986239570432
"130",38.54472,-78.4174,"year_2014","NW",23.210238590432
"131",38.54472,-78.4174,"year_2015","NW",23.953238620432
"132",38.54472,-78.4174,"year_2016","NW",25.012238640432
