"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"PSS3T",3,7,8,0,0,0,0,0,0,0
"PSS4B",3,6,8,0,0,0,0,0,0,0
"PSS4T",3,8,8,0,2,4,6,4,0,0
"PS1522",0,0,0,0,4,4,4,2,0,0
"PS1932",0,0,0,0,6,4,4,2,0,0
"PS2357",0,0,0,0,6,4,4,2,0,0
"PS2680",0,0,0,0,4,0,0,0,0,0
"PS2732",0,0,0,0,6,0,0,0,0,0
"PS2745",0,0,0,0,4,4,6,4,0,0
"PS2875",0,0,0,0,6,0,0,0,0,0
"PS2876",0,0,0,0,6,0,0,0,0,0
"PS2897",0,0,0,0,6,4,4,2,0,0
"PS2914",0,0,0,0,4,0,0,0,0,0
"PS2921",0,0,0,0,4,0,0,0,0,0
"PS2992",0,0,0,0,4,0,0,0,0,0
"PS2997",0,0,0,0,4,0,0,0,0,0
"PS3018",0,0,0,0,6,0,0,0,0,0
"PS3122",0,0,0,0,4,0,0,0,0,0
"PS3177",0,0,0,0,6,4,4,2,0,0
"PS3295",0,0,0,0,4,0,0,0,0,0
"PS3374",0,0,0,0,6,4,6,4,0,0
"PS3424",0,0,0,0,6,0,0,0,0,0
"PS3526",0,0,0,0,4,0,0,0,0,0
"PS3562",0,0,0,0,6,4,6,4,0,0
"PS3738",0,0,0,0,4,4,6,4,0,0
"PS3794",0,0,0,0,4,0,0,0,0,0
"PS4052",0,0,0,0,6,2,0,0,0,0
"PS4067",0,0,0,0,4,4,4,2,0,0
"PS4162",0,0,0,0,6,2,0,0,0,0
"PS4319",0,0,0,0,4,2,0,0,0,0
"PS4376",0,0,0,0,4,4,4,2,0,0
"PS4399",0,0,0,0,6,0,0,0,0,0
"PS4463",0,0,0,0,6,0,0,0,0,0
"PS4647",0,0,0,0,6,0,0,0,0,0
"PS4688",0,0,0,0,2,4,4,2,0,0
"PS4735",0,0,0,0,5,4,4,2,0,0
"PS4910",0,0,0,0,4,0,0,0,0,0
"PS4971",0,0,0,0,6,0,0,0,0,0
"PS5042",0,0,0,0,4,0,0,0,0,0
"PS6080",0,0,0,0,4,0,0,0,0,0
"PS6173",0,0,0,0,4,0,0,0,0,0
"PS6287",0,0,0,0,4,0,0,0,0,0
"PS835",0,0,0,0,4,0,0,0,0,0
"PS836",0,0,0,0,4,4,4,2,0,0
"PS837",0,0,0,0,6,0,0,0,0,0
"PS839",0,0,0,0,4,0,0,0,0,0
"PS851",0,0,0,0,6,0,0,0,0,0
"PS852",0,0,0,0,6,0,0,0,0,0
"PS853",0,0,0,0,6,0,0,0,0,0
"PS855",0,0,0,0,4,0,0,0,0,2
"PS856",0,0,0,0,4,0,0,0,0,0
"PS857",0,0,0,0,4,0,0,0,0,0
"PS858",0,0,0,0,6,0,0,0,0,0
"PS859",0,0,0,0,4,0,0,0,0,0
"PS860",0,0,0,0,4,0,0,0,0,0
"PS861",0,0,0,0,4,0,0,0,0,0
"PS862",0,0,0,0,6,4,4,2,0,2
"PS863",0,0,0,0,4,0,0,0,0,0
"PS864",0,0,0,0,4,0,0,0,0,0
"PS865",0,0,0,0,6,0,0,0,0,0
"PS866",0,0,0,0,4,0,0,0,0,0
"PS867",0,0,0,0,6,4,6,4,0,0
"PS871",0,0,0,0,4,4,4,2,0,0
"PS872",0,0,0,0,4,4,6,4,0,2
"PS873",0,0,0,0,6,4,4,2,0,0
"PS874",0,0,0,0,4,4,4,2,0,0
"PS875",0,0,0,0,4,0,0,0,0,0
"PS876",0,0,0,0,4,0,0,0,0,0
"PS877",0,0,0,0,4,0,0,0,0,0
"PS878",0,0,0,0,4,4,4,2,0,2
"PS879",0,0,0,0,4,0,0,0,0,0
"PS880",0,0,0,0,4,0,0,0,0,0
"PS882",0,0,0,0,4,0,0,0,0,0
"PS883",0,0,0,0,4,0,0,0,0,0
"PS884",0,0,0,0,4,0,0,0,0,0
"PS885",0,0,0,0,4,0,0,0,0,0
"PS886",0,0,0,0,4,0,0,0,0,0
"PS887",0,0,0,0,6,4,4,2,0,2
"PS888",0,0,0,0,4,4,4,2,0,0
"PS889",0,0,0,0,4,0,0,0,0,0
"PS890",0,0,0,0,4,0,0,0,0,0
"PS891",0,0,0,0,4,0,0,0,0,0
"PS892",0,0,0,0,4,0,0,0,0,0
"PS893",0,0,0,0,4,0,0,0,0,0
"PS897",0,0,0,0,4,0,0,0,0,0
"PS898",0,0,0,0,6,0,0,0,0,0
"PS899",0,0,0,0,4,0,0,0,0,0
"PS900",0,0,0,0,4,0,0,0,0,0
