"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"29",3,0.00116603038689775,4.10904491653751e-16,0.999999999914518,1,0.999793044081574,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"30",4,0.00151963375620287,3.50162396385479e-16,0.999999999951662,1,0.999885058663927,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"31",5,0.001198825093363,2.5516051087522e-16,0.999999999965698,1,0.999898234217794,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"32",6,0.00126779337432819,1.68409560360411e-16,0.999999999981085,1,0.999943553517547,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"33",7,0.000868830035272164,8.21026649958361e-17,0.999999999981894,1,0.999931909459454,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"34",8,0.000990457649572904,6.59172076384621e-17,0.999999999989762,1,0.999958406975847,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"35",9,0.000757086923885762,3.9316929684351e-17,0.999999999991861,1,0.999955184516776,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"36",10,0.000770812708398974,2.29817286619394e-17,0.999999999994691,1,0.999969356175237,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"37",2,0.00297821861225542,1.99863137106984e-15,0.999999999951142,1,0.999878933988528,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"38",3,0.00265828816667074,1.054151138386e-15,0.999999999959015,1,0.999892692687261,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"39",4,0.00528043661247819,9.33465752970863e-16,0.999999999984022,1,0.999962237847791,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"40",5,0.00265042610647848,3.28181109860416e-16,0.99999999998597,1,0.999954214443883,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"41",6,0.00430022228655746,3.06384458271932e-16,0.999999999992645,1,0.999978392305264,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"42",7,0.00170572230460921,1.29512530418105e-16,0.999999999991501,1,0.999960896692559,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"43",8,0.00424896369576844,1.39028178609736e-16,0.999999999996723,1,0.999986666061233,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"44",9,0.00144561406927468,4.97779797894004e-17,0.999999999995892,1,0.999974965544496,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"45",10,0.00286709399420361,4.9830331308807e-17,0.999999999998073,1,0.999987569426418,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"46",2,6.01911161751388e-05,3.03733834498294e-17,0.999999998918362,1,0.99439062910439,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"47",3,2.30892880705972e-05,8.21994781369021e-18,0.999999993026246,1,0.983956809280382,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"48",4,5.00102663946241e-05,1.22853096832051e-17,0.999999997775095,1,0.994931937633249,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"49",5,1.89143859550167e-05,5.38123282381657e-18,0.999999997101584,1,0.991802504486767,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"50",6,3.42447359530473e-05,4.19015678306164e-18,0.999999998869114,1,0.996682742910378,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"51",7,1.05259548577831e-05,1.70158744640047e-18,0.999999998137318,1,0.992368812667768,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"52",8,2.74423488286469e-05,1.89471808042694e-18,0.999999999424606,1,0.997669852251334,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"53",9,8.34339973476785e-06,5.66906977168643e-19,0.9999999989529,1,0.994079579824261,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"54",10,1.78872234069496e-05,6.60382629250074e-19,0.999999999627771,1,0.997733118641544,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"55",2,0.00323209251515859,2.17759258089425e-15,0.999999999954437,1,0.99989846128345,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"56",3,0.00467215810891853,1.94287138536907e-15,0.999999999981863,1,0.999946595076278,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"57",4,0.00846974951118201,1.67324915365164e-15,0.999999999992591,1,0.999980124937018,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"58",5,0.00452807211491735,5.81860644400695e-16,0.999999999993741,1,0.999979957080449,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"59",6,0.00704681890357424,7.43849656099963e-16,0.999999999997066,1,0.999989633894672,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"60",7,0.0030554587494983,2.10973672702477e-16,0.999999999996779,1,0.999984079949757,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"61",8,0.00646546963435983,2.96745371935541e-16,0.999999999998565,1,0.999993280472122,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"62",9,0.00301317640540543,1.07205420497804e-16,0.999999999998502,1,0.999990328626936,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
