,Longitude,Latitude,RMI_p
167,-78.31517,38.64639,32.13817215
168,-78.42046,38.53906,17.64943886
169,-78.41766,38.54632,30.33550262
170,-78.4174,38.54472,8.397227287
171,-78.34097,38.61552,22.55833054
172,-78.42252,38.54251,22.62580109
173,-78.32226293,38.62150965,8.428322792
174,-78.41756,38.54566,16.21717072
175,-78.31958374,38.61905795,8.153100967
176,-78.42293127,38.54329987,16.90011406
177,-78.42163576,38.54241768,26.46397018
178,-78.36063,38.61753,12.52689648
179,-78.32742451,38.626502,30.27333641
180,-78.32143832,38.63122906,22.31891823
181,-78.42462282,38.54798821,11.90679836
182,-78.31751173,38.63813885,30.90126991
183,-78.38989525,38.5580019,35.7884903
184,-78.33659,38.63385,23.79950714
185,-78.33365,38.62957,19.52283096
186,-78.36594648,38.6224413,22.3777771
187,-78.37077915,38.61196711,12.69331264
188,-78.33008216,38.58296514,19.34893417
189,-78.33605024,38.57933041,31.89504623
190,-78.33830078,38.58783083,18.48279572
191,-78.35957464,38.60957726,31.17276764
192,-78.33017134,38.64783855,30.22136879
193,-78.32268203,38.64306975,29.30340195
194,-78.4175,38.5536,15.86044025
195,-78.4155,38.5646,26.93461227
196,-78.4163,38.5537,17.20927238
197,-78.4168,38.5573,32.47331238
198,-78.4184,38.5518,27.84028625
199,-78.36461,38.62181,16.24603271
200,-78.36506,38.61628,27.51123238
201,-78.34232996,38.63513997,14.01478481
202,-78.4182462,38.55088172,19.79182816
203,-78.41513316,38.56191935,18.53642273
204,-78.41814034,38.54999408,18.38211441
205,-78.418,38.5491,19.80875969
206,-78.42371,38.54333,14.61561489
207,-78.42367,38.54853,24.49620628
208,-78.42159,38.54142,15.19135857
209,-78.42306,38.54397,18.11432457
