"","occ_v","occ_z","col_prob_v","surv_prob_v","col_prob_z","surv_prob_z","alpha.psiS","alpha.psiC","alpha.survS","alpha.colS","beta.survS1","beta.colS1","beta.survS2","beta.colS2","alpha.survC","alpha.colC","beta.survC1","beta.colC1","beta.survC2","beta.colC2"
"1",0.999998587035589,0.999999998478714,0.999999974653049,0.852242606209049,0.999999994034218,0.999999999525481,0.0179020552693612,0.999999999839251,0.651424507155923,0.285958183365771,0.829902747805952,0.999999999839251,0.953155387109318,0.370213337909882,0.489428351687627,0.189314270939056,0.765197887466038,0.0754642255854591,0.0627025960297123,0.818271856191275
"2",0.999913925732068,0.999912522235052,0.998708558659543,0.999999044025355,0.999192082978031,0.99998631504234,0.51650141333014,0.999994936919232,0.143909891440329,0.798011849662351,0.316059349278518,0.999994936919232,0.470377255561929,0.873714139643161,0.988541094192874,0.6952485389956,0.254248323951016,0.595165059556127,0.530329313593087,0.323056889449407
"3",0.999999999801826,0.999213723681739,0.999999999807593,0.999999996204099,0.896889599557989,0.999999847758748,0.752922386797038,0.999999914962254,0.390259195982932,0.0110946060280916,0.0787307154405152,0.999999914962254,0.219238734880312,0.0907161259592068,0.24963624395345,0.909598554524631,1.00505208832602,0.833941844433234,0.324982887802689,0.0551397681290846
"4",0.999981306637116,0.999986810421893,0.999988124449519,0.999645281294365,0.999998646923481,0.995748649002542,0.229654100949098,0.997708935993239,0.884041861920293,0.514608690674204,0.571578096629535,0.997708935993239,0.736651431413125,0.612078939905362,0.772444944450318,0.4260486620415,0.479824207500271,0.349162977467941,0.819651683261824,0.569974393087426
"5",0.999999997134024,0.994107938610767,0.999999998181424,0.999999904216037,0.99617861377264,0.909653383612417,0.370493801370834,0.958951069039256,0.0633190208355535,0.413909624566541,0.244302205713515,0.958951069039256,0.867977404608872,0.990097708360626,0.384788651046569,0.771260715345505,0.886149082343336,0.69617212420651,0.177529950568476,0.715414013874037
"6",0.999704945913891,0.999999880054313,0.999843835290612,0.992300881769413,0.999999830925668,0.999999224158055,0.860505393206237,0.999999672712608,0.546389349642346,0.904616958225294,0.680753953112781,0.999999672712608,0.310712553073021,0.523734982403733,0.873554080143019,0.284480509528258,0.355329392407256,0.206342948383409,0.688115010175123,0.22246264918823
"7",0.999998494956288,0.999999992716359,0.999998722325457,0.999914587235877,0.999999999515195,0.999754798968947,0.652720440999695,0.999894912826794,0.792805753152416,0.155756417600581,0.926464312771023,0.999894912826794,0.12491400068317,0.73693648359884,0.0929440983876033,0.0445928955026615,0.61401518693447,0.422498249815115,0.407171070403666,0.442866361884087
"8",0.999803143820321,0.999999056744477,0.925855084149284,0.999999999583561,0.999911438188224,0.999999998603988,0.117918768493364,0.999999999322187,0.317462543921426,0.679061473001036,0.410516453878239,0.999999999322187,0.589403150427186,0.250905175557816,0.582900267448824,0.538138839784793,0.0902107749900771,0.957314956885124,0.933203350401388,0.93747507685164
"9",0.999732586129348,0.99998510603177,0.845277750226351,0.999999964126548,0.998186084699864,0.99999998947595,0.193294294761364,0.999999996479894,0.988829750575749,0.977923332130559,0.243156915477594,0.999999996479894,0.887395344093211,0.662215822712202,0.320265121257015,0.236690502770942,0.0600979125644949,0.758836119596078,0.630256790955949,0.392443686061382
"10",0.999993614198464,0.999999605969092,0.999997806339532,0.999444487367137,0.9999999624051,0.999100871688437,0.704679694666951,0.999408924936931,0.466294680758564,0.470050637860477,0.747158825243515,0.999408924936931,0.370626366761988,0.189549481082571,0.820013896623153,0.686820665791699,0.547891586079963,0.312270064293671,0.136377422637583,0.837781336692334
"11",0.993929370057862,0.999997389227746,0.997837118470519,0.760706981850904,0.999995116485862,0.99999741078453,0.949136215407936,0.999999181328158,0.212721993375089,0.735230785046619,0.541888834302507,0.999999181328158,0.182804228435985,0.877876101136321,0.0249443673549188,0.986979977465393,0.274113994743574,0.00600767101777773,0.858610524312524,0.627055704731102
"12",0.999999947595517,0.830898862582315,0.999999979742098,0.99998174604244,0.786776674976094,0.648301214862283,0.42619855596226,0.750502656456331,0.741043298796691,0.194643900782233,0.018068788955674,0.750502656456331,0.67218947796182,0.43102125428793,0.537409165746381,0.476223674391553,0.776515699954824,0.476017067922824,0.401511575887185,0.132312499420031
"13",0.9999714592018,0.999991618088369,0.999957962865108,0.999875363832853,0.999999434037821,0.991089561379013,0.333327772113045,0.991716639998453,0.34760366558863,0.805359381547784,0.634881567143833,0.991716639998453,0.795836025511711,0.00655619890204682,0.42099388914312,0.869863356689361,0.440199990610515,0.371065046089041,0.718376515946268,0.0187783709242263
"14",0.999999999564116,0.999722428500616,0.999999999422373,0.999999997095338,0.989673210549071,0.999999599819222,0.801212584074859,0.999999852969656,0.831034864540876,0.334306483164893,0.162633632430353,0.999999852969656,0.274397853309224,0.562288766138111,0.91740170050148,0.323314523792976,0.926025583847603,0.870277132083308,0.276261460523927,0.511998757643643
"15",0.999861305368119,0.999968497200524,0.987674903144799,0.999999464283331,0.999933841825017,0.999964520568796,0.579674107905113,0.999980168305847,0.554356884816571,0.620994835715994,0.410559601287594,0.999980168305847,0.0271796848506232,0.308879677537701,0.192055467507155,0.083658312017232,0.186156966457708,0.653270823327595,0.988185087749784,0.749458723241415
"16",0.999998501503968,0.999999999418288,0.999999862619107,0.983753578110383,0.999999998875402,0.999999998928731,0.0459999716241461,0.99999999969315,0.0962105763092851,0.0976108284910107,0.921313793806243,0.99999999969315,0.515320044145071,0.802829264181984,0.685911586219152,0.60221216552345,0.682638338732653,0.161207201073652,0.498580938343228,0.261222278069914
"17",0.999999997558828,0.99999959929328,0.999999996339645,0.999999986321376,0.999999117302955,0.999999425131387,0.0810759806855204,0.999999798840374,0.498852502381844,0.108070417342715,0.608114468291862,0.999999798840374,0.467887914450758,0.539350415352209,0.719238083388747,0.2703828028918,0.848890896335281,0.803827831218749,0.839877568132258,0.968181764853649
"18",0.999650601541901,0.982939088071764,0.999386598970981,0.999107503707536,0.96554087052402,0.9657212232941,0.613668492401152,0.968511788146838,1.0033479794286,0.615388709607806,0.111627012194281,0.968511788146838,1.01281934605458,0.0238530727851262,0.191556720091686,0.752211339998202,0.326671717744155,0.289765996111218,0.342305044875255,0.465307987668994
"19",0.999973359533724,0.999995734011137,0.999999475983255,0.814206349636664,0.999806921756451,0.999999998019113,0.832034261195542,0.99999999947836,0.716147912125417,0.394127633023452,0.347174048649936,0.99999999947836,0.745570330438162,0.759675985729885,0.936322811204084,0.515226367419446,0.60450667630978,0.0419441705741961,0.576820817914521,0.215757934871894
"20",0.998845000071328,0.999999960801676,0.957808648105727,0.999989375076854,0.999999995097684,0.999941995959875,0.334566274105117,0.999964705753379,0.263099865479458,0.890400858667728,0.840603954794746,0.999964705753379,0.251419242284648,0.268455017016301,0.467607163762455,0.0115370802473746,0.118349754806431,0.524935861579974,0.092526422069284,0.761411464184997
"21",0.999999684486966,0.999981787153188,0.999999917302323,0.999911529907674,0.999994937326146,0.997649467063986,0.463942047953476,0.998322440523345,0.847277056600591,0.0172811839684389,0.510920851593502,0.998322440523345,0.365698403361108,0.141312420276597,0.575779382982585,0.601972703971466,0.719544473459398,0.390344630716156,0.994973768928823,0.598493683484422
"22",0.999950186278701,0.999999999303559,0.995138624248992,0.999999998247113,0.999999999447336,0.999999956664843,0.956844033880577,0.999999985427394,0.380291818748669,0.514802797752861,0.943072259159528,0.999999985427394,0.881601142638203,0.642457437964221,0.121455072837383,0.11824615448381,0.241745348193786,0.89723923072622,0.477639289877082,0.0688557015277388
"23",0.99999999912867,0.999995713169413,0.999999999791171,0.999999762328696,0.999999904749199,0.559948124355142,0.734764405551058,0.621851060097702,0.142514686583481,0.251315691397111,0.730636751052534,0.621851060097702,0.637263472119005,0.362151263967163,0.863748995894541,0.382616578006183,0.970827008866406,0.666224671986233,0.707364048143013,0.375769199423508
"24",0.999951557831469,0.999883859107833,0.999987684960951,0.997515391683831,0.998459231030079,0.999992090926842,0.236454374597363,0.999997410059995,0.641899864019323,0.72880529792232,0.270116538229596,0.999997410059995,0.110492232646565,0.888047363131863,0.347958357479652,0.89980476348012,0.486175288332972,0.22782898884181,0.209056749997602,0.86548315183461
"25",0.999597691771801,0.999076398080858,0.999945223098317,0.938611399935585,0.875732927259692,0.999998936517636,0.175409006733615,0.999999506452991,0.208759232166273,0.542514645526433,0.0809897572729812,0.999999506452991,0.465012723742092,0.440397376092898,0.531461042758318,0.343186248054372,0.41724652796817,0.112500999058379,0.23580195352949,0.279187815664322
"26",0.999999995647118,0.999933210115985,0.999999998098226,0.999999365565343,0.999993720782079,0.864695541365043,0.655564165852391,0.931853507650667,0.674932708802843,0.0534121076071487,0.516863685962194,0.931853507650667,0.96007734416749,0.953326179774952,0.0238330060625936,0.816548733970619,0.901162852473567,0.601945606236504,0.75308927630624,0.769128085001488
"27",0.999960976970204,0.999999997584443,0.979500082012151,0.999999996601529,0.999999996642997,0.999999992575961,0.921204526045984,0.999999996456005,0.935878454173121,0.829816166137016,0.836554832812856,0.999999996456005,0.688524927642826,0.191627004706093,0.760182329618974,0.579884177348337,0.138218832092666,0.851105536139929,0.0299017120626439,0.487587740153305
"28",0.999998929713682,0.999492397979126,0.999999672890012,0.999602402372924,0.998722121253097,0.999391581561146,0.421018687431774,0.99974244867541,0.437427362351145,0.31468613386394,0.280812760793529,0.99974244867541,0.199413175280977,0.693637246554531,0.277314352524558,0.0757494162166064,0.661047339800693,0.346578859986181,0.520583559577216,0.0400267545556766
