"","occ_v","occ_z","col_prob_v","surv_prob_v","col_prob_z","surv_prob_z","true_alpha.psiSC","true_alpha.psiSc","true_alpha.psiC","true_alpha.survAloneS","true_alpha.survBothS","true_alpha.colEmptyS","true_alpha.colOccS","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneS2","true_beta.survBothS2","true_beta.colEmptyS2","true_beta.colOccS2","true_alpha.survAloneC","true_alpha.survBothC","true_alpha.colEmptyC","true_alpha.colOccC","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1","true_beta.survAloneC2","true_beta.survBothC2","true_beta.colEmptyC2","true_beta.colOccC2","colB_prob_v","colA_prob_v","survB_prob_v","survA_prob_v","colB_prob_z","colA_prob_z","survB_prob_z","survA_prob_z","alpha.psiSC","alpha.psiSc","alpha.psiC","alpha.survAloneS","alpha.survBothS","alpha.colEmptyS","alpha.colOccS","beta.survAloneS1","beta.survBothS1","beta.colEmptyS1","beta.colOccS1","beta.survAloneS2","beta.survBothS2","beta.colEmptyS2","beta.colOccS2","alpha.survAloneC","alpha.survBothC","alpha.colEmptyC","alpha.colOccC","beta.survAloneC1","beta.survBothC1","beta.colEmptyC1","beta.colOccC1","beta.survAloneC2","beta.survBothC2","beta.colEmptyC2","beta.colOccC2"
"1",0.999998883797317,0.999999937277936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-0.00493656604378791,0.216125925670617,0.318823266058934,0.129164724788685,0.855787171737685,0.455860095914748,0.650413546148519,0.439917103983673,0.628087803749875,0.672257674719388,0.866340924416836,0.485831959637557,0.612800972222584,0.603282019088608,0.321241700629373,0.31949428569503,0.391500098488967,0.636076484847304,0.582405108305261,0.165113515352569,0.610115881455811,0.199390710941706,0.749931168541999,0.647386721729454,0.884710647280684,0.00205907231646683,0.189132922240028
"2",0.999971161329776,0.999978988098059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.456275096289501,0.753619211509666,0.854864286062904,0.627314405333434,0.436118701105874,0.925684157149031,0.183877733481188,0.849884384875831,0.0807352068332077,0.198757828560584,0.442242689115835,0.945324427618852,0.126538580767395,0.0823336552425716,0.839589722166905,0.76950946117372,0.868455729901126,0.113376740900835,0.126918191011313,0.690286203120617,0.0972149742608414,0.665500571102454,0.335747315481793,0.165814340379255,0.42792644832314,0.562027102716592,0.616462542775256
"3",0.999982017768595,0.999999848262438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.781021632972255,-0.0206944542665713,0.592866816377266,0.412752327293972,0.18821876215351,0.253016698889523,0.484760390321868,0.187696209602652,0.840345686657897,0.405808110379199,0.689838043669069,0.707979595636923,0.927016318184939,0.390366688983223,0.0623585398822413,0.499368496520253,0.664449927270355,0.868896530919176,0.378947229732908,0.439301142909596,0.434510833124188,0.408765646992871,0.072887524221469,0.868802281189439,0.628639370760424,0.796116382459973,0.970635717718712
"4",0.999999998226187,0.999998288438886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.320731831023447,0.490686502393943,0.0812094970020818,0.882707700774439,0.626368052104356,0.682247580754433,1.00253503163934,0.696067609610312,0.377399359848129,0.954590092402838,0.14877665011479,0.278119783454673,0.355585490734307,0.81519144477757,0.614289864327647,0.0159163166329246,0.137714516523241,0.390450648963439,0.842285572603007,0.944613882915333,0.848527322098196,0.907705883013861,0.526769708646133,0.384188770641393,0.177035533707407,0.288373349864561,0.37623352817698
"5",0.999998064667663,0.99999990718817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.36315810026027,0.158618649106474,0.999379318740114,0.0299495375029556,0.0183993767963117,0.618532469860595,0.602123715596773,0.812138116232914,0.734480433914526,0.28162097154035,0.557210659686489,0.835410020092026,0.544325599716369,0.970078677967007,0.922213266329633,0.370396376529108,0.791013253005655,0.759933071408825,0.894984494949173,0.83409187075522,0.28484435180841,0.55654516233762,0.393490971817581,0.522727547596905,0.824756304968383,0.945686761746263,0.24649270026189
"6",0.999999788910848,0.999886760688619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.91583229117046,0.624947166661631,0.479379817976375,0.506299798287625,0.588068296580439,0.058083153419553,0.0456955019151121,0.341357490224928,0.235682958776894,0.732856949217335,0.0181740567281425,0.342018381556751,-0.0061185936112186,0.463793581002192,0.409404931502812,0.882995666958369,0.200816338594462,0.28306330145809,0.463619210723615,0.354547630920431,0.699302447728801,0.0476390209687299,0.903743532970416,0.985513607283907,0.30163636714162,0.451866239904965,0.788914345001448
"7",0.999999845717358,0.999999998318162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.65622104985045,0.389295881557455,0.232428626534906,0.280027369627288,0.766491811670953,0.849309481582726,0.358778131911134,0.564193700949338,1.00596927824604,0.522066642492615,0.793978023662521,0.10277544410976,0.739077063600392,0.271094780343528,0.714517634202782,0.619892323413253,-0.00369173445282438,0.574728919709994,0.186905073632883,0.571150116685055,0.488936635394209,0.805975420633981,0.653865137933941,0.245886845994617,0.577434121325945,0.129163594188635,0.504888443980832
"8",0.992230196852997,0.999396156440385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.117159594900614,0.834149190542957,0.732696008133472,0.815027532972784,0.277641770873409,0.316938548808063,0.863959505575325,0.033120821777131,0.467872088725386,0.0360945267934374,0.262104772472484,0.641840018884726,0.281257414302117,0.745966730154323,0.213523632340372,0.0252944960565754,0.458953979194488,-0.00672255562796689,0.671508425032337,0.0569269382959988,-0.0271480923974106,0.285392316828537,0.179959859874598,0.725837676486206,0.0420241693459468,0.679071422455155,0.0382953993889677
"9",0.999999924336339,0.999999558643371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.169871420308614,0.0357014143901669,0.0620073341677496,0.554975681908946,0.426570273504457,0.261174836880255,0.643780113347546,0.665776484577974,0.641211363888586,0.732480345864336,0.319969437131946,0.693278673836139,0.227805154117712,0.1690883841832,0.335930539564779,0.983096181467207,0.284744002763741,0.662288595885408,0.501281074131826,0.906984056696987,0.307073418223654,0.511309386294732,0.850875806975552,0.833013231302945,0.587982231493051,0.444092027878374,0.560458807745732
"10",0.999999958068176,0.999984866529623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.703516968375208,0.566835674902161,0.529635132734022,0.0947291978863196,1.00248382133901,0.747460115177507,0.166173290024443,0.125077242792036,0.152072662396594,0.278909415599091,0.867799153589174,0.144024970825582,0.697887291043067,0.665436336974628,0.875212574328584,0.439841459211558,0.802437143301144,0.197953504305771,0.0399850307860752,0.388648016497121,0.864143318007656,0.997139222289694,0.35346799860869,0.305714134355892,0.133496851946226,1.01321939689688,0.072930973961126
